"Time","Frequency (Hz)","Level (dBµV/m)","Level_1 (dBµV/m)","Level_2 (dBµV/m)","Level_3 (dBµV/m)","Value Count","File Info"
"10/12/2021  10:40:00.000","   107025000","  47.3","   0.5","  45.9","  48.2","40",
"10/12/2021  10:50:00.000","   107050000","  41.0","   1.8","  35.8","  44.3","76",
"10/12/2021  10:50:00.000","   107075000","  33.0","   2.7","  24.5","  37.8","76",
"10/12/2021  10:50:00.000","   107100000","  26.7","   1.7","  21.2","  31.7","76",
"10/12/2021  10:50:00.000","   107125000","  22.8","   1.0","  20.1","  25.4","76",
"10/12/2021  10:50:00.000","   107150000","  19.5","   0.8","  17.6","  21.1","76",
"10/12/2021  10:40:00.000","   107175000","  16.2","   1.3","  13.4","  18.0","40",
"10/12/2021  10:40:00.000","   107200000","  13.2","   1.5","  10.1","  15.6","40",
"10/12/2021  10:40:00.000","   107225000","  11.3","   1.1","   9.2","  13.4","40",
"10/12/2021  10:40:00.000","   107250000","  10.3","   0.7","   9.2","  11.6","40",
"10/12/2021  10:40:00.000","   107275000","  10.7","   0.5","  10.1","  12.5","40",
"10/12/2021  10:40:00.000","   107300000","  13.5","   0.7","  13.1","  15.8","40",
"10/12/2021  10:40:00.000","   107325000","  12.1","   0.6","  11.7","  14.2","40",
"10/12/2021  10:50:00.000","   107350000","   9.1","   0.4","   8.7","  10.4","76",
"10/12/2021  10:50:00.000","   107375000","   9.1","   0.4","   8.6","  10.3","76",
"10/12/2021  10:40:00.000","   107400000","   9.8","   0.4","   9.5","  11.3","40",
"10/12/2021  10:40:00.000","   107425000","  11.1","   0.5","  10.7","  13.0","40",
"10/12/2021  10:40:00.000","   107450000","  10.1","   0.3","   9.8","  11.7","40",
"10/12/2021  10:50:00.000","   107475000","   9.7","   0.3","   9.3","  10.7","76",
"10/12/2021  10:40:00.000","   107500000","   9.9","   0.3","   9.6","  11.2","40",
"10/12/2021  10:40:00.000","   107525000","   9.9","   0.3","   9.4","  10.8","40",
"10/12/2021  12:20:00.000","   107550000","  12.6","   2.1","   9.9","  19.8","76",
"10/12/2021  11:50:00.000","   107575000","  21.5","   2.7","  14.8","  27.4","76",
"10/12/2021  11:50:00.000","   107600000","  33.5","   2.3","  27.8","  38.6","76",
